# hoi4-vanilla-facts-v1
salt	Operation Postern v1.19.2.0.a729
version	1.19.2.0
steam_previous_version	1.19.1.0
checksum	ddb150ad2658facfa661e056d8b1d245
rule	common	.txt
rule	common	.lua
rule	events	.txt
rule	history	.txt
rule	map	.txt
rule	map	.map
rule	map	.bmp
rule	map	.csv
file	common/acclimatation.txt	a6f74d3b329774a4b568394513105de4	21e1de2d
file	common/achievements.txt	ff4eb8db221bab7a6453701b6b12ed46	9ede1315
file	common/ai_attitudes.txt	e3e817d39e13ee40d12533d9b2f553f5	3f9793c6
file	common/ai_personalities.txt	7e9e3d7ad9697db481e0d76cf7c0f66f	05e5430d
file	common/alerts.txt	e994d5a7f3be9d3e4b3330b9d39f387d	cecd267d
file	common/combat_tactics.txt	8136e3ce2cb72cf69889d28e3e317948	bfa9d218
file	common/event_modifiers.txt	3c970c2296eddd1d22ae16abc0a23daf	00000000
file	common/graphicalculturetype.txt	348e962d597fbdef294cb8be9d552d4f	5de00965
file	common/region_colors.txt	512eaec16d5dabcdbd8a16f68f85faa3	95f54a74
file	common/script_enums.txt	4d23abd04f316a1a812cb17b3c48d4f1	0eafbb89
file	common/triggered_modifiers.txt	53ab6ba3a4c2e18e5dfeda7bb453aa7c	00000000
file	common/weather.txt	824c5546cfa58e41dd57797aa7ec7495	11a2a0b9
file	common/abilities/CHI_abilities.txt	068838ce6ed0073acf893599374addb3	a140044a
file	common/abilities/JAP_abilities.txt	0b39f990f897f04eaf94736dcda7bea7	eb3c2220
file	common/abilities/PHI_abilities.txt	af82d13e858bed9b84114efd20f9cf89	1caebe8a
file	common/abilities/RAJ_abilities.txt	01b165b109b1ee6dae4a99a7586c449d	a2bc5acf
file	common/abilities/SWE_abilities.txt	6ef6dc27106a08505ce0728cdaa746ec	1f6291ac
file	common/abilities/generic_leader_abilities.txt	7caedeab47a54c157ed681b6464334c8	ab2cac3d
file	common/aces/00_aces.txt	72dd8e6f9a81b5b04763cf44adf59da0	78ee6cda
file	common/ai_areas/default.txt	65d8515504a53653ef69215b597340b7	e9bfcbfd
file	common/ai_equipment/ENG_naval.txt	901f432d1d216c8f827e3c6e4208cd72	5019b608
file	common/ai_equipment/ENG_planes.txt	4f2384c43b1d62719313276ebe3a9948	bfa7482b
file	common/ai_equipment/ENG_tank.txt	d2e4ce9525ae6b3f33e27aa54fc247d7	4c22f2a0
file	common/ai_equipment/FRA_naval.txt	a75c510ae209c61f3396987f83449483	1528dbc5
file	common/ai_equipment/FRA_tank.txt	510e6aede40b6fc89acfa745c77bdd9a	10296cfa
file	common/ai_equipment/GER_naval.txt	500cde558a458e716e01ddb161657aa0	b2ef55af
file	common/ai_equipment/GER_planes.txt	ec1b2333565ea67ac4ebb4a8483db7f5	e4d2139d
file	common/ai_equipment/GER_tank.txt	1769be8879aa8467ce339a1c8098352d	e6fd1435
file	common/ai_equipment/HUN_tank.txt	73fa4e36a978a2aa19c47a0f1789b49c	7750a8e3
file	common/ai_equipment/ITA_naval.txt	c1d98d99700d52f6189fbedef0479f2d	77e368cc
file	common/ai_equipment/ITA_planes.txt	4084565b1e88627f7019b125571cc6db	25e297e2
file	common/ai_equipment/ITA_tank.txt	f6e5b5ff46e33325627a8392edb68ba8	5575adbe
file	common/ai_equipment/JAP_naval.txt	7f689e5c36d49be48cc60ad6c0f709ae	f3a255a4
file	common/ai_equipment/JAP_tank.txt	27115800a442ae727e238338ba0bbd97	04a59cc3
file	common/ai_equipment/SOV_planes.txt	28a6c25203983eec973b2143daca39cf	eca201af
file	common/ai_equipment/SOV_tank.txt	10fef3b7d9d9329fa50a5fcdd7088fb4	d8d435dc
file	common/ai_equipment/USA_naval.txt	28a3cf928aa6bb8869ba9ecb90db4bbb	d4118ca5
file	common/ai_equipment/USA_planes.txt	5f6259d73bf0e09b739b4df371d09c6c	8bd99b0d
file	common/ai_equipment/USA_tank.txt	6c536ba24ab6432ceec90a0d87c71d3b	2e7baf7f
file	common/ai_equipment/generic_naval.txt	293e3860b8b3994055ebaff3ec8392b2	5635bb29
file	common/ai_equipment/generic_planes.txt	f1c28ee86bd662f18ba4d09007f5c44e	853d86ad
file	common/ai_equipment/generic_tank.txt	4492a5bc387b7dee596373c6b85bf894	813725d9
file	common/ai_faction_theaters/ai_faction_theaters.txt	a579b847673c4f1d50b03acec9ab4ef7	977727bc
file	common/ai_focuses/ENG.txt	afa6b0abec08a40e55a221718f2e3fab	e681d798
file	common/ai_focuses/FRA.txt	1e30d1292d342c5b6a485c390a66b59e	e01b671e
file	common/ai_focuses/GER.txt	297c817d1139aa9fd876f1a74aa5f077	e1e2d663
file	common/ai_focuses/ITA.txt	f66b484585f169c104157e0f65e935cf	e1188dd9
file	common/ai_focuses/JAP.txt	f8fecb2c9518790c7a23e1ec0cbd5241	e168e87b
file	common/ai_focuses/SOV.txt	8f53b53a0208ecb483562c3d59110ba3	e1d99241
file	common/ai_focuses/USA.txt	17bd319160b6e14db8461223e5946fcc	263f6699
file	common/ai_focuses/generic.txt	358366262be120f96416ce791f0eb002	ca29e66e
file	common/ai_navy/fleet/ENG_fleet_templates.txt	ce853c4f510484889032074cdc412327	dc9ea3f1
file	common/ai_navy/fleet/FRA_fleet_templates.txt	8cfaeea0d7c94ee2946d7362ee54dd30	c15eada3
file	common/ai_navy/fleet/GER_fleet_templates.txt	472d811300a40b57980e05d90eeafd64	c1a809c2
file	common/ai_navy/fleet/ITA_fleet_templates.txt	9f86b30c383ca4dcee3a2ee2564c08d1	b3458adb
file	common/ai_navy/fleet/JAP_fleet_templates.txt	ebdb20e2920fb6edb244583f22ad1ce6	c274c97c
file	common/ai_navy/fleet/SOV_fleet_templates.txt	03eda9ae3f1efe4141230db3f0af3866	c340be97
file	common/ai_navy/fleet/USA_fleet_templates.txt	a467e113013455dabcf669e4834a17ef	bbd4b2ac
file	common/ai_navy/fleet/generic_fleet_templates.txt	5b135847a7da14e5fd5b42382b2c6653	bdc33825
file	common/ai_navy/goals/goals_ENG.txt	3c58e4afb6124711cac66a1398fb816d	931a6f04
file	common/ai_navy/goals/goals_FRA.txt	d15b2bf1c800e28fb7b93d137b0d17cc	930737b0
file	common/ai_navy/goals/goals_GER.txt	07463d69bf5603dbd00167546e840d73	936947b4
file	common/ai_navy/goals/goals_ITA.txt	e4ba78a83cd963eb43caf3a79ace5c5e	9336c93c
file	common/ai_navy/goals/goals_JAP.txt	23ad6676ef8c2ca4e55d3b53fa57b8c3	bf09df31
file	common/ai_navy/goals/goals_SOV.txt	fb148870f631fc2bad77460573f97dc4	94d550f8
file	common/ai_navy/goals/goals_USA.txt	4b879489156d5148ee04ec9ffddff2ff	9482a191
file	common/ai_navy/goals/goals_generic.txt	d5255a4a5532a5a3c9d89a2c7f90a9a9	01e91094
file	common/ai_navy/taskforce/ENG_taskforce_templates.txt	9077febbab7811423887fdbbbb1494c1	d137baad
file	common/ai_navy/taskforce/FRA_taskforce_templates.txt	f9416aee9ba58e90e3cb191492904476	75f41894
file	common/ai_navy/taskforce/GER_taskforce_templates.txt	f9eea032445d0e544f5f2113a37ff95b	faf300e5
file	common/ai_navy/taskforce/ITA_taskforce_templates.txt	c4ea44edb3a019660e46786492d44469	203393ea
file	common/ai_navy/taskforce/JAP_taskforce_templates.txt	8dbdc4c93c10dd2e18c64b0b038591e1	1c97b14b
file	common/ai_navy/taskforce/SOV_taskforce_templates.txt	1178798eea9176b691a15a1f672167f6	77bb86c3
file	common/ai_navy/taskforce/USA_taskforce_templates.txt	23035563504576751450be3d220a1000	07e214d9
file	common/ai_navy/taskforce/generic_taskforce_templates.txt	8c2076d5a97e96c7d1b36903ffffcc41	f8b07b6f
file	common/ai_strategy/ARG.txt	37d0387e3b7b137a80485874763f3bfa	45b81f8d
file	common/ai_strategy/AUS.txt	7b1b478836902a465c255a4a4060d402	cd6c30dc
file	common/ai_strategy/BEL.txt	f6ccd26ccbdf4eb08c0f85ec4ee3e204	a1e3cbef
file	common/ai_strategy/BUL.txt	a0993f3cd5ca91cf86d47af572f47295	f7cc4895
file	common/ai_strategy/CHI.txt	dbd9e1125a503e2429f9dc34033a0b8c	d42c6465
file	common/ai_strategy/CHL.txt	04cecc503b6720a069a3057353fb1ca0	8736ce48
file	common/ai_strategy/CZE.txt	b8a8f153dc39bbe12bf0178259b721ab	acb270fc
file	common/ai_strategy/DEN.txt	595ba1880a869026f7ccb0565dadeeb1	b5121304
file	common/ai_strategy/ENG.txt	348c8cbc1c4f226dce0e0c4f517fe3e0	d90aef86
file	common/ai_strategy/ENG_operation_strats.txt	36e42e29c225b1ec8d416fbf8ae8db4e	4f24259f
file	common/ai_strategy/ETH.txt	4ab2d3e2935286e626fa34cb7211cd08	1cc9cfeb
file	common/ai_strategy/FIN.txt	a49f529e70c976b790e932ee9c5f9928	7e8d4f55
file	common/ai_strategy/FRA.txt	78d031c8ee947405d5e92201752fd5b5	0012f8af
file	common/ai_strategy/GER.txt	9fd74ab091bcd3bb7bdb66f5c49c2da4	b39a62b8
file	common/ai_strategy/GER_operation_strats.txt	46e8fbbfab17083ddbe1b0413424a868	5187514b
file	common/ai_strategy/GRE.txt	09cd4166156dc81f96bc69c4920d6aff	9f2b2f81
file	common/ai_strategy/GUAY.txt	80a9c37a162a9cb754bce9b5fb789546	8a54e942
file	common/ai_strategy/HOL.txt	610e2efdfed4505211d242bc6defade8	0022f172
file	common/ai_strategy/HUN.txt	a7fd270fd939bc9792b3afce7ae139f8	4c249e6c
