l_english:

SM_complexes: "Complexes:"
SM_factories: "Factories:"
SM_dockyards: "Dockyards:"

SM_complexes_effect_tooltip:0 "Transferring complexes under [GetStateControlName] control will increase §YLocal Monthly Population§! and §YLocal Resources§!"
SM_with_RS_complexes_effect_tooltip:0 "Transferring complexes under [GetStateControlName] control will increase §YLocal Monthly Population§!, §YLocal Resources§! and §YDaily Cumulative Research Bonus for Engineering and Industry Categories§!."
SM_factories_effect_tooltip:0 "Transferring factories under [GetStateControlName] control will increase §YWeekly Ponypower Growth§!, §Y[GetMilitarySphereConditions]§! and §YDaily Cumulative Research Bonus for Army Categories§!."
SM_army_tooltip:0 "Daily Army Experience"
SM_army_and_air_tooltip:0 "Daily Army Experience§!, §YDaily Air Experience"
SM_with_RS_factories_effect_tooltip:0 "Transferring factories under [GetStateControlName] control will increase §YWeekly Ponypower Growth§!, §Y[GetMilitarySphereConditions]§! and §YDaily Cumulative Research Bonus for Army Categories§!."
SM_dockyards_effect_tooltip:0 "Transferring dockyards under [GetStateControlName] control will increase §YBonus Resources§! and §YDaily Navy Experience§!"
SM_with_RS_dockyards_effect_tooltip:0 "Transferring dockyards under [GetStateControlName] control will increase §YBonus Resources§!, §YDaily Navy Experience§! and §YDaily Cumulative Research Bonus for Navy Categories§!."
SM_dynamic_state_monthly_population_tooltip:0 "§YNOTE:§! The effect of §YDynamic Local Monthly Population§! isn't applied at the end of each month, but is divided by 4 and calculated every week along with the overestimation of the value."

SM_complexes_add_effect_tooltip:0 "[!SM_complexes_add_button_click]"
SM_complexes_remove_effect_tooltip:0 "[!SM_complexes_remove_button_click]"
SM_factories_add_effect_tooltip:0 "[!SM_factories_add_button_click]"
SM_factories_remove_effect_tooltip:0 "[!SM_factories_remove_button_click]"
SM_dockyards_add_effect_tooltip:0 "[!SM_dockyards_add_button_click]"
SM_dockyards_remove_effect_tooltip:0 "[!SM_dockyards_remove_button_click]"

SM_local_monthly_population_info_textbox_tooltip:0 "Modifies §YLocal Monthly Ponypower§!\nStatic modifier:  [?SM_static_state_monthly_population_var|+]\nDynamic modifier: [?SM_dynamic_state_monthly_population_var|+]"

RS_GUI_tooltip:0 "Unlocks §YResearch Savings Mechanics§!.\n"
RS_army_textbox_tooltip:0 "§WTotal Army Research Findings\n--------------§!\n§YDaily Growth: [?RS_army_savings_var|+]"
RS_naval_savings_var_textbox_tooltip:0 "§WTotal Naval Research Findings\n--------------§!\n§YDaily Growth: [?RS_naval_savings_var|+]"
RS_air_textbox_tooltip:0 "§WTotal Air Research Findings\n--------------§!\n§YDaily Growth: [?RS_air_savings_var|+]"
RS_civil_savings_var_textbox_tooltip:0 "§WTotal Civil Research Findings\n--------------§!\n§YDaily Growth: [?RS_civil_savings_var|+]"
RS_infantry_25_effect_tooltip:0 "Convert [?RS_infantry_25_boost_cost|Y] to [!RS_infantry_25_button_click]"
RS_infantry_50_effect_tooltip:0 "Convert [?RS_infantry_50_boost_cost|Y] to [!RS_infantry_50_button_click]"
RS_armor_25_effect_tooltip:0 "Convert [?RS_armor_25_boost_cost|Y] to [!RS_armor_25_button_click]"
RS_armor_50_effect_tooltip:0 "Convert [?RS_armor_50_boost_cost|Y] to [!RS_armor_50_button_click]"
RS_artillery_25_effect_tooltip:0 "Convert [?RS_artillery_25_boost_cost|Y] to [!RS_artillery_25_button_click]"
RS_artillery_50_effect_tooltip:0 "Convert [?RS_artillery_50_boost_cost|Y] to [!RS_artillery_50_button_click]"
RS_naval_25_effect_tooltip:0 "Convert [?RS_naval_25_boost_cost|Y] to [!RS_naval_savings_var_25_button_click]"
RS_naval_50_effect_tooltip:0 "Convert [?RS_naval_59_boost_cost|Y] to [!RS_naval_savings_var_50_button_click]"
RS_air_25_effect_tooltip:0 "Convert [?RS_air_25_boost_cost|Y] to [!RS_air_25_button_click]"
RS_air_50_effect_tooltip:0 "Convert [?RS_air_50_boost_cost|Y] to [!RS_air_50_button_click]"
RS_industry_25_effect_tooltip:0 "Convert [?RS_industry_25_boost_cost|Y] to [!RS_industry_25_button_click]"
RS_industry_50_effect_tooltip:0 "Convert [?RS_industry_50_boost_cost|Y] to [!RS_industry_50_button_click]"
RS_engineering_25_effect_tooltip:0 "Convert [?RS_engineering_25_boost_cost|Y] to [!NTR_electronics_research_savings_25_button_click]"
RS_engineering_50_effect_tooltip:0 "Convert [?RS_engineering_50_boost_cost|Y] to [!NTR_electronics_research_savings_50_button_click]"
